nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Keberangkatan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Ekonomi;2020;Tahun;581169;<strong>TOTAL</strong>
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;98933;Januari
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;82908;Februari
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;106553;Maret
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;93422;April
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;176219;Mei
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;150560;Juni
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;171109;Juli
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;160535;Agustus
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;144935;September
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;162613;Oktober
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;150599;November
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;179723;Desember
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";JUMLAH;2022;Tahun;1678109;<strong>TOTAL</strong>
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2022;Tahun;12728;Januari
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2022;Tahun;9702;Februari
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2022;Tahun;13501;Maret
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2022;Tahun;11067;April
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2022;Tahun;39067;Mei
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2022;Tahun;23039;Juni
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2022;Tahun;27570;Juli
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2022;Tahun;28581;Agustus
"Jumlah Kedatangan Penumpang Bulanan Stasiun Kereta Api Kota Baru Menurut Jenis Kereta Api";Eksekutif;2022;Tahun;22944;September
